Let the simulation run for a bit, and then press CTRL+C to get the
average runtimes (in milliseconds) of each of the state functions.
Initializing camera...  Done.
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0100001 1 0
0000001 1 0
0100001 1 0
0000001 1 0
0100001 1 0
0000001 1 0
0100001 1 0
0000001 1 0
0100001 1 0
0000001 1 0
0100001 1 0
0000001 1 0
0100001 1 0
0000001 1 0
0100001 1 0
0000001 1 0
0100001 1 0
0000001 1 0
0100001 1 0
0000001 1 0
0100001 1 0
0000001 1 0
0100001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
Done.
