20,20
WAIT,5,6.43
CHASE,96,12.11
ACQUIRE,8,12.1
FETCH,36,12.04
RETURN,34,11.93
WAIT,9,7.81
CHASE,100,12.15
ACQUIRE,12,11.95
FETCH,64,11.84
RETURN,31,11.57
WAIT,5,6.51
CHASE,119,12.31
ACQUIRE,3,11.76
FETCH,27,12.07
RETURN,32,11.77
WAIT,14,7.52
CHASE,46,12.0
ACQUIRE,6,11.88
FETCH,26,12.5
RETURN,16,11.95
WAIT,6,7.53
CHASE,140,12.14
ACQUIRE,15,12.18
FETCH,9,12.8
RETURN,32,11.98
WAIT,6,6.53
CHASE,33,12.31
ACQUIRE,4,12.04
FETCH,61,11.91
RETURN,28,11.68
WAIT,5,6.57
CHASE,43,12.14
ACQUIRE,6,12.66
FETCH,67,11.95
RETURN,26,11.94
WAIT,8,6.49
CHASE,182,12.16
ACQUIRE,6,12.16
FETCH,41,12.23
RETURN,20,11.91
WAIT,5,7.49
CHASE,82,12.39
ACQUIRE,7,12.05
FETCH,11,12.03
RETURN,36,11.65
WAIT,10,7.18
CHASE,71,12.22
ACQUIRE,3,12.47
FETCH,43,11.94
RETURN,20,12.08
WAIT,8,7.39
CHASE,67,12.08
ACQUIRE,3,11.78
FETCH,35,11.96
RETURN,5,13.55
WAIT,16,7.39
CHASE,88,14.61
ACQUIRE,7,13.8
FETCH,14,24.38
RETURN,60,16.29
WAIT,8,14.27
CHASE,37,14.81
ACQUIRE,7,15.49
FETCH,23,17.45
RETURN,27,14.26
WAIT,6,20.76
CHASE,52,15.55
ACQUIRE,9,13.68
FETCH,40,22.49
RETURN,39,21.94
WAIT,3,12.17
CHASE,59,14.42
ACQUIRE,8,14.59
FETCH,33,12.47
RETURN,55,13.28
WAIT,4,8.45
CHASE,72,13.33
ACQUIRE,3,14.45
FETCH,31,12.94
RETURN,29,12.26
WAIT,9,8.56
CHASE,43,12.87
ACQUIRE,2,12.04
FETCH,20,13.05
RETURN,25,12.62
WAIT,3,7.49
CHASE,28,12.9
ACQUIRE,5,13.17
FETCH,27,12.81
RETURN,78,12.23
WAIT,4,7.09
CHASE,143,13.22
ACQUIRE,1,12.58
FETCH,44,12.79
RETURN,20,12.49
WAIT,6,7.56
CHASE,90,13.51
ACQUIRE,9,13.4
FETCH,59,12.62
RETURN,70,12.64
20,20
WAIT,4,7.25
CHASE,75,12.41
ACQUIRE,17,12.4
FETCH,21,12.74
RETURN,36,12.2
WAIT,14,7.28
CHASE,122,11.98
ACQUIRE,9,11.75
FETCH,34,11.8
RETURN,27,12.57
WAIT,5,7.56
CHASE,64,12.07
ACQUIRE,6,12.0
FETCH,32,11.89
RETURN,54,11.85
WAIT,9,7.24
CHASE,117,12.02
ACQUIRE,3,12.24
FETCH,25,12.79
RETURN,24,11.92
WAIT,10,6.42
CHASE,78,12.08
ACQUIRE,12,11.82
FETCH,23,12.44
RETURN,48,11.8
WAIT,9,6.9
CHASE,64,12.1
ACQUIRE,11,11.99
FETCH,20,12.23
RETURN,36,11.67
WAIT,12,7.05
CHASE,95,12.14
ACQUIRE,8,12.18
FETCH,29,12.2
RETURN,11,12.35
WAIT,12,8.06
CHASE,113,12.12
ACQUIRE,11,11.78
FETCH,29,11.84
RETURN,57,11.49
WAIT,5,6.34
CHASE,143,12.11
ACQUIRE,20,12.2
FETCH,38,12.14
RETURN,17,12.12
WAIT,6,6.71
CHASE,37,12.18
ACQUIRE,8,11.57
FETCH,18,12.78
RETURN,44,11.79
WAIT,8,7.63
CHASE,79,11.97
ACQUIRE,9,12.04
FETCH,25,12.35
RETURN,42,11.78
WAIT,10,6.97
CHASE,145,12.15
ACQUIRE,12,12.35
FETCH,80,12.16
RETURN,59,11.93
WAIT,9,8.1
CHASE,190,13.26
ACQUIRE,5,13.07
FETCH,27,12.91
RETURN,57,12.4
WAIT,8,7.4
CHASE,32,12.76
ACQUIRE,7,12.32
FETCH,21,13.16
RETURN,26,12.55
WAIT,4,9.45
CHASE,71,13.11
ACQUIRE,10,13.93
FETCH,33,12.53
RETURN,21,12.3
WAIT,7,8.27
CHASE,105,13.11
ACQUIRE,10,12.72
FETCH,43,12.89
RETURN,21,12.92
WAIT,17,8.53
CHASE,78,13.35
ACQUIRE,2,12.92
FETCH,44,12.86
RETURN,10,13.84
WAIT,10,8.45
CHASE,96,13.12
ACQUIRE,3,12.51
FETCH,24,12.84
RETURN,23,12.42
WAIT,4,7.03
CHASE,159,13.05
ACQUIRE,8,12.42
FETCH,23,12.93
RETURN,65,12.49
WAIT,7,7.51
CHASE,158,13.19
ACQUIRE,13,13.18
FETCH,45,12.93
RETURN,47,12.46
20,20
WAIT,9,7.79
CHASE,95,12.05
ACQUIRE,3,12.24
FETCH,76,11.86
RETURN,59,11.53
WAIT,8,7.74
CHASE,110,12.11
ACQUIRE,19,12.28
FETCH,48,11.87
RETURN,39,11.76
WAIT,12,7.1
CHASE,92,12.23
ACQUIRE,7,11.89
FETCH,10,13.17
RETURN,30,11.66
WAIT,15,7.49
CHASE,37,12.19
ACQUIRE,3,12.37
FETCH,67,11.97
RETURN,16,12.28
WAIT,3,7.16
CHASE,153,12.07
ACQUIRE,9,12.44
FETCH,36,12.18
RETURN,37,11.56
WAIT,6,7.58
CHASE,71,12.14
ACQUIRE,9,11.83
FETCH,24,12.12
RETURN,23,12.19
WAIT,6,6.68
CHASE,74,11.98
ACQUIRE,12,12.18
FETCH,24,12.37
RETURN,40,11.71
WAIT,6,7.48
CHASE,83,12.18
ACQUIRE,7,11.77
FETCH,29,12.14
RETURN,34,11.59
WAIT,6,6.57
CHASE,39,12.16
ACQUIRE,4,11.96
FETCH,19,12.36
RETURN,37,11.81
WAIT,11,7.18
CHASE,24,12.23
ACQUIRE,1,12.19
FETCH,41,11.95
RETURN,22,11.74
WAIT,7,7.23
CHASE,66,12.03
ACQUIRE,6,11.93
FETCH,30,12.23
RETURN,22,12.42
WAIT,5,6.7
CHASE,55,12.26
ACQUIRE,2,11.86
FETCH,39,12.91
RETURN,35,12.56
WAIT,14,8.0
CHASE,148,13.01
ACQUIRE,12,13.02
FETCH,20,12.56
RETURN,29,13.26
WAIT,13,8.05
CHASE,77,13.05
ACQUIRE,1,12.49
FETCH,29,12.92
RETURN,17,12.42
WAIT,7,8.82
CHASE,64,13.18
ACQUIRE,8,12.48
FETCH,38,13.35
RETURN,30,12.46
WAIT,12,9.02
CHASE,119,12.93
ACQUIRE,12,13.0
FETCH,14,12.42
RETURN,27,12.24
WAIT,7,7.63
CHASE,41,13.22
